"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"1568","07052009-A007","07","Chiapas","052","Las Margaritas","009-A","007","84",635.796
"1569","07092011-2022","07","Chiapas","092","Tecpatán","011-2","022","12",80.3306
"1570","07115003-4018","07","Chiapas","115","Maravilla Tenejapa","003-4","018","18",208.5048
"1571","07016007-4021","07","Chiapas","016","Catazajá","007-4","021","7",72.0096
"1572","07097007-2003","07","Chiapas","097","Tonalá","007-2","003","5",375.568
"1573","07107013-6003","07","Chiapas","107","Villa Corzo","013-6","003","168",1293.7324
"1574","07059004-8007","07","Chiapas","059","Ocosingo","004-8","007","104",2784.9506
"1575","07101039-7008","07","Chiapas","101","Tuxtla Gutiérrez","039-7","008","9",636.2163
"1576","07002005-A009","07","Chiapas","002","Acala","005-A","009","6",99.0345
"1577","07019015-0009","07","Chiapas","019","Comitán de Domínguez","015-0","009","33",170.1499
"1578","07027012-9009","07","Chiapas","027","Chiapa de Corzo","012-9","009","20",355.7587
"1579","07069004-4012","07","Chiapas","069","Pijijiapan","004-4","012","35",211.4949
"1580","07082001-2013","07","Chiapas","082","Sitalá","001-2","013","15",37.419
"1581","07093003-5002","07","Chiapas","093","Tenejapa","003-5","002","75",488.4375
"1582","07003003-8014","07","Chiapas","003","Acapetahua","003-8","014","41",39.7496
"1583","07016011-0018","07","Chiapas","016","Catazajá","011-0","018","19",556.3549
"1584","07016011-0019","07","Chiapas","016","Catazajá","011-0","019","4",415.5523
"1585","07062002-4019","07","Chiapas","062","Ostuacán","002-4","019","36",130.3181
"1586","07051014-3030","07","Chiapas","051","Mapastepec","014-3","030","37",236.9526
"1587","07013002-A032","07","Chiapas","013","Bochil","002-A","032","6",11.9275
"1588","07057004-3008","07","Chiapas","057","Motozintla","004-3","008","75",352.1862
"1589","07024002-3001","07","Chiapas","024","Chanal","002-3","001","434",6483.1788
"1590","07046005-4001","07","Chiapas","046","Jiquipilas","005-4","001","937",1709.7664
"1591","07051014-3001","07","Chiapas","051","Mapastepec","014-3","001","8",812.7659
"1592","07086003-0002","07","Chiapas","086","Suchiapa","003-0","002","14",579.0953
"1593","07030005-4001","07","Chiapas","030","Chicomuselo","005-4","001","109",2482.4096
"1594","07039004-5027","07","Chiapas","039","Huitiupán","004-5","027","39",14.0127
"1595","07031017-4003","07","Chiapas","031","Chilón","017-4","003","646",3526.1264
"1596","07048008-2005","07","Chiapas","048","Juárez","008-2","005","15",1268.4945
"1597","07093002-0005","07","Chiapas","093","Tenejapa","002-0","005","59",104.0846
"1598","07004006-9018","07","Chiapas","004","Altamirano","006-9","018","76",134.1248
"1599","07107015-5005","07","Chiapas","107","Villa Corzo","015-5","005","45",111.132
"1600","07006001-0006","07","Chiapas","006","Amatenango de la Frontera","001-0","006","59",221.807
"1601","07108019-0006","07","Chiapas","108","Villaflores","019-0","006","12",544.3488
"1602","07065013-4008","07","Chiapas","065","Palenque","013-4","008","13",472.5312
"1603","07002006-4029","07","Chiapas","002","Acala","006-4","029","28",107.3279
"1604","07068005-1008","07","Chiapas","068","Pichucalco","005-1","008","53",1329.6164
"1605","07096006-0003","07","Chiapas","096","Tila","006-0","003","22",1463.473
"1606","07107019-3010","07","Chiapas","107","Villa Corzo","019-3","010","181",1789.7302
"1607","07061021-A011","07","Chiapas","061","Ocozocoautla de Espinosa","021-A","011","111",783.9787
"1608","07013003-4012","07","Chiapas","013","Bochil","003-4","012","1",79.2038
"1609","07089024-4012","07","Chiapas","089","Tapachula","024-4","012","9",727.7982
"1610","07066002-3004","07","Chiapas","066","Pantelhó","002-3","004","19",1718.4818
"1611","07107007-0013","07","Chiapas","107","Villa Corzo","007-0","013","42",279.639
"1612","07017022-6019","07","Chiapas","017","Cintalapa","022-6","019","8",39.6348
"1613","07017018-A014","07","Chiapas","017","Cintalapa","018-A","014","5",518.8902
"1614","07019009-5015","07","Chiapas","019","Comitán de Domínguez","009-5","015","1",185.9794
"1615","07108010-A030","07","Chiapas","108","Villaflores","010-A","030","11",19.645
"1616","07107019-3017","07","Chiapas","107","Villa Corzo","019-3","017","14",851.0089
"1617","07108010-A019","07","Chiapas","108","Villaflores","010-A","019","53",149.4266
"1618","07107014-0022","07","Chiapas","107","Villa Corzo","014-0","022","21",97.3689
"1619","07050008-0001","07","Chiapas","050","La Libertad","008-0","001","8",139.3646
"1620","07107014-0001","07","Chiapas","107","Villa Corzo","014-0","001","12",540.51
"1621","07017052-7002","07","Chiapas","017","Cintalapa","052-7","002","104",4222.582
"1622","07018001-1002","07","Chiapas","018","Coapilla","001-1","002","6",221.4041
"1623","07008009-1003","07","Chiapas","008","Angel Albino Corzo","009-1","003","58",1020.8638
"1624","07052025-9003","07","Chiapas","052","Las Margaritas","025-9","003","22",325.7012
"1625","07075005-6003","07","Chiapas","075","Las Rosas","005-6","003","31",574.634
"1626","07057004-3006","07","Chiapas","057","Motozintla","004-3","006","14",98.691
"1627","07031010-2004","07","Chiapas","031","Chilón","010-2","004","1",1067.193
"1628","07030005-4008","07","Chiapas","030","Chicomuselo","005-4","008","9",1433.2421
"1629","07059032-A001","07","Chiapas","059","Ocosingo","032-A","001","48",272.1463
"1630","07074001-0004","07","Chiapas","074","Reforma","001-0","004","43",482.4881
"1631","07083006-2005","07","Chiapas","083","Socoltenango","006-2","005","28",343.0616
"1632","07052039-0008","07","Chiapas","052","Las Margaritas","039-0","008","60",228.0672
"1633","07092005-7005","07","Chiapas","092","Tecpatán","005-7","005","3",1591.5612
"1634","07052027-8001","07","Chiapas","052","Las Margaritas","027-8","001","336",3334.2665
"1635","07017013-7006","07","Chiapas","017","Cintalapa","013-7","006","18",292.6796
"1636","07059009-0008","07","Chiapas","059","Ocosingo","009-0","008","30",447.111
"1637","07046015-8002","07","Chiapas","046","Jiquipilas","015-8","002","2",235.258
"1638","07007004-1007","07","Chiapas","007","Amatenango del Valle","004-1","007","24",569.6787
"1639","07001004-8008","07","Chiapas","001","Acacoyagua","004-8","008","41",116.8239
"1640","07057006-2007","07","Chiapas","057","Motozintla","006-2","007","221",729.2886
"1641","07065019-1002","07","Chiapas","065","Palenque","019-1","002","17",204.5089
"1642","07068005-1007","07","Chiapas","068","Pichucalco","005-1","007","7",362.1064
"1643","07072004-A008","07","Chiapas","072","Pueblo Nuevo Solistahuacán","004-A","008","33",94.6143
"1644","07020022-1010","07","Chiapas","020","La Concordia","022-1","010","26",212.8672
"1645","07066003-8010","07","Chiapas","066","Pantelhó","003-8","010","37",422.8809
"1646","07106006-9010","07","Chiapas","106","Venustiano Carranza","006-9","010","3",46.4503
"1647","07089029-7002","07","Chiapas","089","Tapachula","029-7","002","26",508.2214
"1648","07017021-1012","07","Chiapas","017","Cintalapa","021-1","012","91",1393.5649
"1649","07027009-7013","07","Chiapas","027","Chiapa de Corzo","009-7","013","47",42.8589
"1650","07081003-4015","07","Chiapas","081","Simojovel","003-4","015","1",53.4649
"1651","07009005-0016","07","Chiapas","009","Arriaga","005-0","016","47",50.3793
"1652","07107014-0016","07","Chiapas","107","Villa Corzo","014-0","016","29",431.7662
"1653","07065020-4017","07","Chiapas","065","Palenque","020-4","017","5",52.5465
"1654","07084001-7017","07","Chiapas","084","Solosuchiapa","001-7","017","99",65.2108
"1655","07052006-6006","07","Chiapas","052","Las Margaritas","006-6","006","109",1669.1279
"1656","07107014-0018","07","Chiapas","107","Villa Corzo","014-0","018","26",93.5101
"1657","07081002-A004","07","Chiapas","081","Simojovel","002-A","004","59",60.7852
"1658","07079006-A024","07","Chiapas","079","San Fernando","006-A","024","175",533.0883
"1659","07040005-0008","07","Chiapas","040","Huixtla","005-0","008","17",11.4202
"1660","07004004-A006","07","Chiapas","004","Altamirano","004-A","006","25",614.425
"1661","07057004-3031","07","Chiapas","057","Motozintla","004-3","031","180",117.9886
"1662","07089027-8037","07","Chiapas","089","Tapachula","027-8","037","6",27.7829
"1663","07097015-7031","07","Chiapas","097","Tonalá","015-7","031","21",95.9061
"1664","07002006-4034","07","Chiapas","002","Acala","006-4","034","6",17.4023
"1665","07047003-2001","07","Chiapas","047","Jitotol","003-2","001","45",748.368
"1666","07052010-2001","07","Chiapas","052","Las Margaritas","010-2","001","49",2063.8496
"1667","07065018-7004","07","Chiapas","065","Palenque","018-7","004","105",323.1872
"1668","07013003-4005","07","Chiapas","013","Bochil","003-4","005","253",1231.2187
"1669","07013008-7005","07","Chiapas","013","Bochil","008-7","005","150",909.7102
"1670","07016001-7006","07","Chiapas","016","Catazajá","001-7","006","52",317.3629
"1671","07052031-4009","07","Chiapas","052","Las Margaritas","031-4","009","8",209.9412
"1672","07024002-3006","07","Chiapas","024","Chanal","002-3","006","30",620.7685
"1673","07065019-1009","07","Chiapas","065","Palenque","019-1","009","1",928.441
"1674","07028002-2006","07","Chiapas","028","Chiapilla","002-2","006","18",600.0018
"1675","07069011-4006","07","Chiapas","069","Pijijiapan","011-4","006","101",1187.6806
"1676","07047002-8017","07","Chiapas","047","Jitotol","002-8","017","36",14.8464
"1677","07051007-3007","07","Chiapas","051","Mapastepec","007-3","007","45",437.1006
"1678","07081005-3025","07","Chiapas","081","Simojovel","005-3","025","31",10.726
"1679","07089024-4028","07","Chiapas","089","Tapachula","024-4","028","1",122.0415
"1680","07002005-A008","07","Chiapas","002","Acala","005-A","008","298",1290.5842
"1681","07050001-9008","07","Chiapas","050","La Libertad","001-9","008","74",686.4075
"1682","07071005-7002","07","Chiapas","071","Villa Comaltitlán","005-7","002","1",2552.2988
"1683","07092015-0009","07","Chiapas","092","Tecpatán","015-0","009","16",785.9438
"1684","07019016-5009","07","Chiapas","019","Comitán de Domínguez","016-5","009","141",699.986
"1685","07059028-3010","07","Chiapas","059","Ocosingo","028-3","010","64",249.2851
"1686","07052030-A011","07","Chiapas","052","Las Margaritas","030-A","011","1",139.7109
"1687","07108019-0010","07","Chiapas","108","Villaflores","019-0","010","130",364.3647
"1688","07059034-9003","07","Chiapas","059","Ocosingo","034-9","003","18",214.6447
"1689","07059042-3014","07","Chiapas","059","Ocosingo","042-3","014","26",341.4658
"1690","07107010-2014","07","Chiapas","107","Villa Corzo","010-2","014","1",153.8135
