"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"0","07038001-4003","07","Chiapas","038","Huixtán","001-4","003","95",97.7103
"1","07061012-0008","07","Chiapas","061","Ocozocoautla de Espinosa","012-0","008","45",684.279
"2","07119002-9001","07","Chiapas","119","Santiago el Pinar","002-9","001","4",330.248
"3","07061003-1013","07","Chiapas","061","Ocozocoautla de Espinosa","003-1","013","168",1435.2095
"4","07005005-1013","07","Chiapas","005","Amatán","005-1","013","57",266.1825
"5","07019013-1014","07","Chiapas","019","Comitán de Domínguez","013-1","014","233",131.1997
"6","07027005-9007","07","Chiapas","027","Chiapa de Corzo","005-9","007","62",118.0668
"7","07046012-4004","07","Chiapas","046","Jiquipilas","012-4","004","1",497.179
"8","07031013-6005","07","Chiapas","031","Chilón","013-6","005","65",197.7854
"9","07061013-5006","07","Chiapas","061","Ocozocoautla de Espinosa","013-5","006","93",829.7447
"10","07031009-A002","07","Chiapas","031","Chilón","009-A","002","105",2734.2425
"11","07004007-3009","07","Chiapas","004","Altamirano","007-3","009","638",1366.3249
"12","07061018-8001","07","Chiapas","061","Ocozocoautla de Espinosa","018-8","001","21",813.5055
"13","07106009-2009","07","Chiapas","106","Venustiano Carranza","009-2","009","90",32.4762
"14","07049002-2009","07","Chiapas","049","Larráinzar","002-2","009","24",57.6672
"15","07057004-3017","07","Chiapas","057","Motozintla","004-3","017","4",208.4472
"16","07003003-8009","07","Chiapas","003","Acapetahua","003-8","009","31",1247.5659
"17","07107020-6009","07","Chiapas","107","Villa Corzo","020-6","009","7",712.2948
"18","07065025-7008","07","Chiapas","065","Palenque","025-7","008","4",245.5854
"19","07018001-1007","07","Chiapas","018","Coapilla","001-1","007","29",1124.736
"20","07061020-5003","07","Chiapas","061","Ocozocoautla de Espinosa","020-5","003","23",1127.0888
"21","07018002-6013","07","Chiapas","018","Coapilla","002-6","013","5",239.8492
"22","07087002-3005","07","Chiapas","087","Suchiate","002-3","005","50",601.4938
"23","07045001-9013","07","Chiapas","045","Ixtapangajoya","001-9","013","10",531.5982
"24","07037005-5023","07","Chiapas","037","Huehuetán","005-5","023","23",386.0763
"25","07057005-8012","07","Chiapas","057","Motozintla","005-8","012","49",386.2915
"26","07108010-A003","07","Chiapas","108","Villaflores","010-A","003","20",100.7407
"27","07047001-3016","07","Chiapas","047","Jitotol","001-3","016","10",32.829
"28","07009021-A011","07","Chiapas","009","Arriaga","021-A","011","22",742.0773
"29","07048008-2006","07","Chiapas","048","Juárez","008-2","006","16",505.2107
"30","07052039-0007","07","Chiapas","052","Las Margaritas","039-0","007","95",1591.7535
"31","07051013-9006","07","Chiapas","051","Mapastepec","013-9","006","52",516.6691
"32","07027004-4001","07","Chiapas","027","Chiapa de Corzo","004-4","001","1",313.4904
"33","07017014-1009","07","Chiapas","017","Cintalapa","014-1","009","11",575.8145
"34","07006001-0001","07","Chiapas","006","Amatenango de la Frontera","001-0","001","1132",3523.5508
"35","07054004-1002","07","Chiapas","054","Mazatán","004-1","002","7",369.0515
"36","07101049-0015","07","Chiapas","101","Tuxtla Gutiérrez","049-0","015","3",137.9151
"37","07061021-A013","07","Chiapas","061","Ocozocoautla de Espinosa","021-A","013","52",475.058
"38","07074002-5008","07","Chiapas","074","Reforma","002-5","008","57",560.0099
"39","07086003-0025","07","Chiapas","086","Suchiapa","003-0","025","20",55.796
"40","07077013-5019","07","Chiapas","077","Salto de Agua","013-5","019","110",165.6503
"41","07079003-6010","07","Chiapas","079","San Fernando","003-6","010","12",299.3772
"42","07107014-0004","07","Chiapas","107","Villa Corzo","014-0","004","5",176.6978
"43","07001002-9005","07","Chiapas","001","Acacoyagua","002-9","005","206",2651.8942
"44","07069014-8004","07","Chiapas","069","Pijijiapan","014-8","004","53",551.2742
"45","07067002-0009","07","Chiapas","067","Pantepec","002-0","009","104",128.024
"46","07017022-6012","07","Chiapas","017","Cintalapa","022-6","012","4",612.4424
"47","07089022-5004","07","Chiapas","089","Tapachula","022-5","004","8",124.0817
"48","07115005-3003","07","Chiapas","115","Maravilla Tenejapa","005-3","003","43",3117.5619
"49","07002005-A020","07","Chiapas","002","Acala","005-A","020","1",355.0953
"50","07099016-6016","07","Chiapas","099","La Trinitaria","016-6","016","59",92.8486
"51","07061003-1021","07","Chiapas","061","Ocozocoautla de Espinosa","003-1","021","63",800.2818
"52","07005003-2001","07","Chiapas","005","Amatán","003-2","001","40",114.0804
"53","07116011-6009","07","Chiapas","116","Marqués de Comillas","011-6","009","90",4719.2142
"54","07099016-6015","07","Chiapas","099","La Trinitaria","016-6","015","45",36.9692
"55","07006003-A002","07","Chiapas","006","Amatenango de la Frontera","003-A","002","40",170.732
"56","07068004-7005","07","Chiapas","068","Pichucalco","004-7","005","44",976.153
"57","07017006-7001","07","Chiapas","017","Cintalapa","006-7","001","2",5399.5882
"58","07046009-2014","07","Chiapas","046","Jiquipilas","009-2","014","98",515.3287
"59","07016007-4009","07","Chiapas","016","Catazajá","007-4","009","43",303.5409
"60","07034006-8006","07","Chiapas","034","Frontera Comalapa","006-8","006","45",913.7378
"61","07108009-7025","07","Chiapas","108","Villaflores","009-7","025","140",445.9879
"62","07049001-8001","07","Chiapas","049","Larráinzar","001-8","001","114",337.1296
"63","07107025-9004","07","Chiapas","107","Villa Corzo","025-9","004","91",258.1375
"64","07054005-6008","07","Chiapas","054","Mazatán","005-6","008","3",553.0351
"65","07109003-7018","07","Chiapas","109","Yajalón","003-7","018","30",1439.5795
"66","07083004-3010","07","Chiapas","083","Socoltenango","004-3","010","20",72.6673
"67","07065030-8033","07","Chiapas","065","Palenque","030-8","033","135",964.0843
"68","07074003-A005","07","Chiapas","074","Reforma","003-A","005","39",1852.3794
"69","07081002-A007","07","Chiapas","081","Simojovel","002-A","007","10",219.578
"70","07004005-4012","07","Chiapas","004","Altamirano","005-4","012","33",124.8322
"71","07107016-A008","07","Chiapas","107","Villa Corzo","016-A","008","13",776.029
"72","07115003-4004","07","Chiapas","115","Maravilla Tenejapa","003-4","004","59",1097.3401
"73","07071002-3018","07","Chiapas","071","Villa Comaltitlán","002-3","018","56",501.7348
"74","07057004-3005","07","Chiapas","057","Motozintla","004-3","005","145",89.4069
"75","07009009-9006","07","Chiapas","009","Arriaga","009-9","006","33",1018.9684
"76","07077013-5025","07","Chiapas","077","Salto de Agua","013-5","025","109",81.2642
"77","07099010-9011","07","Chiapas","099","La Trinitaria","010-9","011","18",1627.2468
"78","07086003-0016","07","Chiapas","086","Suchiapa","003-0","016","58",72.0361
"79","07071003-8015","07","Chiapas","071","Villa Comaltitlán","003-8","015","28",111.4308
"80","07051013-9017","07","Chiapas","051","Mapastepec","013-9","017","86",479.084
"81","07051013-9007","07","Chiapas","051","Mapastepec","013-9","007","73",390.8522
"82","07002004-5026","07","Chiapas","002","Acala","004-5","026","20",71.7625
"83","07096003-7006","07","Chiapas","096","Tila","003-7","006","186",1183.0158
"84","07068007-0011","07","Chiapas","068","Pichucalco","007-0","011","34",704.2505
"85","07061016-9001","07","Chiapas","061","Ocozocoautla de Espinosa","016-9","001","18",317.7278
"86","07107014-0021","07","Chiapas","107","Villa Corzo","014-0","021","3",14.1438
"87","07078011-3008","07","Chiapas","078","San Cristóbal de las Casas","011-3","008","2",1080.348
"88","07059073-9002","07","Chiapas","059","Ocosingo","073-9","002","29",464.783
"89","07032005-9030","07","Chiapas","032","Escuintla","005-9","030","13",17.1202
"90","07064001-4003","07","Chiapas","064","Oxchuc","001-4","003","1692",6376.8571
"91","07080005-6003","07","Chiapas","080","Siltepec","005-6","003","16",1524.8128
"92","07019009-5019","07","Chiapas","019","Comitán de Domínguez","009-5","019","1",83.5727
"93","07014002-7004","07","Chiapas","014","El Bosque","002-7","004","771",2059.851
"94","07083006-2014","07","Chiapas","083","Socoltenango","006-2","014","3",2031.1118
"95","07107016-A004","07","Chiapas","107","Villa Corzo","016-A","004","77",254.8065
"96","07020026-A005","07","Chiapas","020","La Concordia","026-A","005","9",6336.1747
"97","07102002-1018","07","Chiapas","102","Tuxtla Chico","002-1","018","41",211.4961
"98","07068005-1006","07","Chiapas","068","Pichucalco","005-1","006","41",1232.9098
"99","07068007-0006","07","Chiapas","068","Pichucalco","007-0","006","42",384.1842
"100","07092020-1006","07","Chiapas","092","Tecpatán","020-1","006","1",20.8143
"101","07039005-A030","07","Chiapas","039","Huitiupán","005-A","030","19",157.7285
"102","07108026-0007","07","Chiapas","108","Villaflores","026-0","007","23",359.6702
"103","07109003-7007","07","Chiapas","109","Yajalón","003-7","007","52",68.2205
"104","07019014-6008","07","Chiapas","019","Comitán de Domínguez","014-6","008","62",338.4766
"105","07031019-3008","07","Chiapas","031","Chilón","019-3","008","54",93.1577
"106","07057003-9009","07","Chiapas","057","Motozintla","003-9","009","88",344.3771
"107","07069016-7009","07","Chiapas","069","Pijijiapan","016-7","009","34",234.6361
"108","07057005-8001","07","Chiapas","057","Motozintla","005-8","001","321",2063.0176
"109","07068007-0010","07","Chiapas","068","Pichucalco","007-0","010","35",588.815
"110","07072004-A020","07","Chiapas","072","Pueblo Nuevo Solistahuacán","004-A","020","29",14.616
"111","07017025-A009","07","Chiapas","017","Cintalapa","025-A","009","318",498.3563
"112","07001004-8011","07","Chiapas","001","Acacoyagua","004-8","011","318",1072.9574
"113","07059111-6001","07","Chiapas","059","Ocosingo","111-6","001","1",12125.3816
"114","07008003-4011","07","Chiapas","008","Angel Albino Corzo","003-4","011","4",17.518
"115","07023003-0011","07","Chiapas","023","Chamula","003-0","011","11",147.6442
"116","07057003-9011","07","Chiapas","057","Motozintla","003-9","011","25",44.6427
"117","07020014-7012","07","Chiapas","020","La Concordia","014-7","012","66",155.43
"118","07092017-A012","07","Chiapas","092","Tecpatán","017-A","012","1",8.0102
"119","07027010-A013","07","Chiapas","027","Chiapa de Corzo","010-A","013","263",2470.0173
"120","07023001-1007","07","Chiapas","023","Chamula","001-1","007","6",324.333
"121","07037004-0014","07","Chiapas","037","Huehuetán","004-0","014","19",257.249
"122","07001004-8014","07","Chiapas","001","Acacoyagua","004-8","014","331",451.4125
"123","07108007-8014","07","Chiapas","108","Villaflores","007-8","014","16",317.7203
"124","07009004-6015","07","Chiapas","009","Arriaga","004-6","015","4",220.3019
"125","07105002-3015","07","Chiapas","105","Unión Juárez","002-3","015","144",147.9884
"126","07028002-2001","07","Chiapas","028","Chiapilla","002-2","001","1144",2332.6384
"127","07046016-2014","07","Chiapas","046","Jiquipilas","016-2","014","1",298.8108
"128","07044002-6017","07","Chiapas","044","Ixtapa","002-6","017","139",1133.783
"129","07089023-A022","07","Chiapas","089","Tapachula","023-A","022","419",1015.9074
"130","07017024-5024","07","Chiapas","017","Cintalapa","024-5","024","6",1931.5751
"131","07046010-5024","07","Chiapas","046","Jiquipilas","010-5","024","25",80.7635
"132","07012003-7025","07","Chiapas","012","Berriozábal","003-7","025","13",58.9814
"133","07034009-1001","07","Chiapas","034","Frontera Comalapa","009-1","001","31",481.8888
"134","07052008-5001","07","Chiapas","052","Las Margaritas","008-5","001","19",589.266
"135","07019018-4002","07","Chiapas","019","Comitán de Domínguez","018-4","002","36",1405.0853
"136","07003003-8015","07","Chiapas","003","Acapetahua","003-8","015","1",0.409
"137","07021004-0015","07","Chiapas","021","Copainalá","004-0","015","25",85.8072
"138","07017017-5003","07","Chiapas","017","Cintalapa","017-5","003","139",4607.4206
"139","07081004-9003","07","Chiapas","081","Simojovel","004-9","003","46",118.749
"140","07046005-4008","07","Chiapas","046","Jiquipilas","005-4","008","3",45.3867
"141","07092016-5003","07","Chiapas","092","Tecpatán","016-5","003","39",649.8918
"142","07079005-5006","07","Chiapas","079","San Fernando","005-5","006","4",324.1057
"143","07061008-4007","07","Chiapas","061","Ocozocoautla de Espinosa","008-4","007","13",563.4995
"144","07116008-4008","07","Chiapas","116","Marqués de Comillas","008-4","008","119",2484.0084
"145","07079003-6007","07","Chiapas","079","San Fernando","003-6","007","72",1034.2542
"146","07097014-2007","07","Chiapas","097","Tonalá","014-2","007","2",6854.8476
"147","07026001-3008","07","Chiapas","026","Chenalhó","001-3","008","451",2064.3172
"148","07017019-4009","07","Chiapas","017","Cintalapa","019-4","009","16",21.247
"149","07089026-3018","07","Chiapas","089","Tapachula","026-3","018","1",58.8609
"150","07079002-1004","07","Chiapas","079","San Fernando","002-1","004","3",111.981
"151","07017027-9009","07","Chiapas","017","Cintalapa","027-9","009","3",884.8164
"152","07107011-7018","07","Chiapas","107","Villa Corzo","011-7","018","3",798.1467
"153","07017029-8009","07","Chiapas","017","Cintalapa","029-8","009","213",504.6539
"154","07019018-4010","07","Chiapas","019","Comitán de Domínguez","018-4","010","37",950.6744
"155","07098001-2011","07","Chiapas","098","Totolapa","001-2","011","95",24.9533
"156","07107012-1011","07","Chiapas","107","Villa Corzo","012-1","011","391",3253.8556
"157","07108013-3011","07","Chiapas","108","Villaflores","013-3","011","29",854.461
"158","07092013-1012","07","Chiapas","092","Tecpatán","013-1","012","38",473.4213
"159","07107010-2012","07","Chiapas","107","Villa Corzo","010-2","012","11",1292.2341
"160","07009021-A017","07","Chiapas","009","Arriaga","021-A","017","5",43.3877
"161","07039004-5013","07","Chiapas","039","Huitiupán","004-5","013","254",538.6578
"162","07037005-5014","07","Chiapas","037","Huehuetán","005-5","014","13",82.0177
"163","07032004-4020","07","Chiapas","032","Escuintla","004-4","020","47",149.4544
"164","07040006-5014","07","Chiapas","040","Huixtla","006-5","014","94",848.0241
"165","07051012-4017","07","Chiapas","051","Mapastepec","012-4","017","7",701.3318
"166","07065008-3014","07","Chiapas","065","Palenque","008-3","014","15",450.5441
"167","07052025-9015","07","Chiapas","052","Las Margaritas","025-9","015","193",138.7477
"168","07065020-4019","07","Chiapas","065","Palenque","020-4","019","16",49.2849
"169","07002005-A011","07","Chiapas","002","Acala","005-A","011","4",97.5733
"170","07052025-9022","07","Chiapas","052","Las Margaritas","025-9","022","3",3.9453
"171","07012003-7024","07","Chiapas","012","Berriozábal","003-7","024","15",53.0171
"172","07013008-7025","07","Chiapas","013","Bochil","008-7","025","10",5.619
"173","07059032-A025","07","Chiapas","059","Ocosingo","032-A","025","66",127.1831
"174","07017011-8004","07","Chiapas","017","Cintalapa","011-8","004","1",19.1989
"175","07017018-A023","07","Chiapas","017","Cintalapa","018-A","023","52",340.5543
"176","07065002-6001","07","Chiapas","065","Palenque","002-6","001","5",1079.9298
"177","07027003-A011","07","Chiapas","027","Chiapa de Corzo","003-A","011","4",3.4084
"178","07008009-1002","07","Chiapas","008","Angel Albino Corzo","009-1","002","236",4209.6726
"179","07059083-2002","07","Chiapas","059","Ocosingo","083-2","002","15",9294.0205
"180","07016011-0002","07","Chiapas","016","Catazajá","011-0","002","15",166.1505
"181","07008003-4003","07","Chiapas","008","Angel Albino Corzo","003-4","003","27",1065.3849
"182","07017025-A003","07","Chiapas","017","Cintalapa","025-A","003","12",1718.9828
"183","07020021-7003","07","Chiapas","020","La Concordia","021-7","003","4",358.6545
"184","07108009-7004","07","Chiapas","108","Villaflores","009-7","004","170",824.3238
"185","07031017-4005","07","Chiapas","031","Chilón","017-4","005","8",68.32
"186","07030004-A019","07","Chiapas","030","Chicomuselo","004-A","019","42",56.1398
"187","07034007-2006","07","Chiapas","034","Frontera Comalapa","007-2","006","9",507.867
"188","07059008-6006","07","Chiapas","059","Ocosingo","008-6","006","1",185.2786
"189","07107006-6006","07","Chiapas","107","Villa Corzo","006-6","006","21",1176.7718
"190","07094003-2011","07","Chiapas","094","Teopisca","003-2","011","1",87.0261
"191","07072003-5008","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","008","534",935.6201
"192","07108018-6014","07","Chiapas","108","Villaflores","018-6","014","3",61.9584
"193","07087002-3008","07","Chiapas","087","Suchiate","002-3","008","58",358.2006
"194","07051008-8009","07","Chiapas","051","Mapastepec","008-8","009","58",2412.2503
"195","07107027-8009","07","Chiapas","107","Villa Corzo","027-8","009","38",2636.6243
"196","07041006-2003","07","Chiapas","041","La Independencia","006-2","003","166",1145.815
"197","07021004-0011","07","Chiapas","021","Copainalá","004-0","011","37",635.3998
"198","07097013-8011","07","Chiapas","097","Tonalá","013-8","011","116",454.7231
"199","07079002-1012","07","Chiapas","079","San Fernando","002-1","012","183",438.1644
"200","07065018-7015","07","Chiapas","065","Palenque","018-7","015","8",60.5546
"201","07078001-A023","07","Chiapas","078","San Cristóbal de las Casas","001-A","023","8",104.8312
"202","07107005-1012","07","Chiapas","107","Villa Corzo","005-1","012","6",419.5781
"203","07108017-1015","07","Chiapas","108","Villaflores","017-1","015","17",217.6306
"204","07076002-A013","07","Chiapas","076","Sabanilla","002-A","013","27",28.2586
"205","07089028-2014","07","Chiapas","089","Tapachula","028-2","014","15",124.1325
"206","07069011-4022","07","Chiapas","069","Pijijiapan","011-4","022","14",219.3121
"207","07027008-2035","07","Chiapas","027","Chiapa de Corzo","008-2","035","4",245.4021
"208","07107020-6024","07","Chiapas","107","Villa Corzo","020-6","024","159",863.0321
"209","07049001-8004","07","Chiapas","049","Larráinzar","001-8","004","1730",8110.4218
"210","07019014-6001","07","Chiapas","019","Comitán de Domínguez","014-6","001","2",1044.3868
"211","07031019-3001","07","Chiapas","031","Chilón","019-3","001","4",10081.0515
"212","07044003-0001","07","Chiapas","044","Ixtapa","003-0","001","45",437.3637
"213","07063001-7010","07","Chiapas","063","Osumacinta","001-7","010","3",876.8723
"214","07065005-A001","07","Chiapas","065","Palenque","005-A","001","4",659.3172
"215","07065025-7001","07","Chiapas","065","Palenque","025-7","001","61",1030.9054
"216","07099009-6002","07","Chiapas","099","La Trinitaria","009-6","002","50",356.68
"217","07034009-1004","07","Chiapas","034","Frontera Comalapa","009-1","004","61",106.0241
"218","07041002-4004","07","Chiapas","041","La Independencia","002-4","004","94",101.3229
"219","07016004-0005","07","Chiapas","016","Catazajá","004-0","005","4",250.5348
"220","07059034-9007","07","Chiapas","059","Ocosingo","034-9","007","17",201.433
"221","07069002-5041","07","Chiapas","069","Pijijiapan","002-5","041","8",43.905
"222","07100003-1005","07","Chiapas","100","Tumbalá","003-1","005","33",621.9924
"223","07064004-8008","07","Chiapas","064","Oxchuc","004-8","008","21",80.0746
"224","07087003-8001","07","Chiapas","087","Suchiate","003-8","001","21",19.2655
"225","07008006-8007","07","Chiapas","008","Angel Albino Corzo","006-8","007","3",1014.9267
"226","07066002-3007","07","Chiapas","066","Pantelhó","002-3","007","18",127.7874
"227","07046015-8008","07","Chiapas","046","Jiquipilas","015-8","008","46",170.5698
"228","07045001-9009","07","Chiapas","045","Ixtapangajoya","001-9","009","31",491.2043
"229","07108019-0009","07","Chiapas","108","Villaflores","019-0","009","263",1093.8911
"230","07051004-A013","07","Chiapas","051","Mapastepec","004-A","013","110",1379.85
"231","07081003-4013","07","Chiapas","081","Simojovel","003-4","013","1",157.2559
"232","07083008-1014","07","Chiapas","083","Socoltenango","008-1","014","275",730.0217
"233","07065027-6015","07","Chiapas","065","Palenque","027-6","015","49",40.7631
"234","07002004-5004","07","Chiapas","002","Acala","004-5","004","4",152.2597
"235","07046010-5016","07","Chiapas","046","Jiquipilas","010-5","016","58",128.7985
"236","07106013-9015","07","Chiapas","106","Venustiano Carranza","013-9","015","30",43.3668
"237","07107023-A015","07","Chiapas","107","Villa Corzo","023-A","015","13",258.8399
"238","07077006-5016","07","Chiapas","077","Salto de Agua","006-5","016","27",49.3722
"239","07005001-3017","07","Chiapas","005","Amatán","001-3","017","72",178.1419
"240","07040008-4021","07","Chiapas","040","Huixtla","008-4","021","16",119.3122
"241","07066003-8021","07","Chiapas","066","Pantelhó","003-8","021","7",174.846
"242","07099013-2001","07","Chiapas","099","La Trinitaria","013-2","001","12",605.4125
"243","07027006-3023","07","Chiapas","027","Chiapa de Corzo","006-3","023","135",409.8128
"244","07040006-5023","07","Chiapas","040","Huixtla","006-5","023","2",31.974
"245","07019010-8009","07","Chiapas","019","Comitán de Domínguez","010-8","009","18",341.5382
"246","07014001-2030","07","Chiapas","014","El Bosque","001-2","030","230",472.314
"247","07062003-9001","07","Chiapas","062","Ostuacán","003-9","001","7",165.2686
"248","07043002-9036","07","Chiapas","043","Ixtacomitán","002-9","036","26",64.9146
"249","07092003-8045","07","Chiapas","092","Tecpatán","003-8","045","23",16.4935
"250","07003003-8001","07","Chiapas","003","Acapetahua","003-8","001","7",487.9784
"251","07059015-6001","07","Chiapas","059","Ocosingo","015-6","001","4",47.3956
"252","07099008-1014","07","Chiapas","099","La Trinitaria","008-1","014","5",39.21
"253","07031005-1002","07","Chiapas","031","Chilón","005-1","002","133",3310.8316
"254","07061005-0002","07","Chiapas","061","Ocozocoautla de Espinosa","005-0","002","20",69.9739
"255","07065022-3002","07","Chiapas","065","Palenque","022-3","002","94",1389.1373
"256","07077003-1019","07","Chiapas","077","Salto de Agua","003-1","019","6",42.361
"257","07030010-5005","07","Chiapas","030","Chicomuselo","010-5","005","11",971.0789
"258","07077012-0002","07","Chiapas","077","Salto de Agua","012-0","002","447",1045.7529
"259","07068004-7003","07","Chiapas","068","Pichucalco","004-7","003","11",711.2194
"260","07052040-3004","07","Chiapas","052","Las Margaritas","040-3","004","27",2023.7569
"261","07107008-5004","07","Chiapas","107","Villa Corzo","008-5","004","3",226.3284
"262","07006001-0005","07","Chiapas","006","Amatenango de la Frontera","001-0","005","104",1147.6879
"263","07106019-6005","07","Chiapas","106","Venustiano Carranza","019-6","005","40",7622.2525
"264","07109003-7005","07","Chiapas","109","Yajalón","003-7","005","24",41.3701
"265","07066001-9005","07","Chiapas","066","Pantelhó","001-9","005","248",723.7005
"266","07016005-5006","07","Chiapas","016","Catazajá","005-5","006","12",147.1294
"267","07099015-1005","07","Chiapas","099","La Trinitaria","015-1","005","22",1453.6329
"268","07057002-4006","07","Chiapas","057","Motozintla","002-4","006","321",2554.197
"269","07031001-3007","07","Chiapas","031","Chilón","001-3","007","3",5.0139
"270","07054006-0007","07","Chiapas","054","Mazatán","006-0","007","17",102.7139
"271","07071005-7007","07","Chiapas","071","Villa Comaltitlán","005-7","007","97",843.3601
"272","07078011-3010","07","Chiapas","078","San Cristóbal de las Casas","011-3","010","1",241.3119
"273","07097011-9010","07","Chiapas","097","Tonalá","011-9","010","2",614.0558
"274","07106014-3011","07","Chiapas","106","Venustiano Carranza","014-3","011","1",475.405
"275","07083003-9013","07","Chiapas","083","Socoltenango","003-9","013","19",41.5649
"276","07013003-4015","07","Chiapas","013","Bochil","003-4","015","113",224.5105
"277","07099004-3015","07","Chiapas","099","La Trinitaria","004-3","015","1",21.4605
"278","07030010-5017","07","Chiapas","030","Chicomuselo","010-5","017","19",149.5034
"279","07044001-1019","07","Chiapas","044","Ixtapa","001-1","019","37",113.9062
"280","07043002-9024","07","Chiapas","043","Ixtacomitán","002-9","024","7",194.9318
"281","07052026-3025","07","Chiapas","052","Las Margaritas","026-3","025","10",305.382
"282","07099011-3001","07","Chiapas","099","La Trinitaria","011-3","001","61",616.0648
"283","07069005-9002","07","Chiapas","069","Pijijiapan","005-9","002","7",597.5602
"284","07075006-0002","07","Chiapas","075","Las Rosas","006-0","002","383",1848.8559
"285","07099010-9023","07","Chiapas","099","La Trinitaria","010-9","023","47",34.7518
"286","07066003-8003","07","Chiapas","066","Pantelhó","003-8","003","84",525.4391
"287","07059008-6004","07","Chiapas","059","Ocosingo","008-6","004","4",209.6976
"288","07099010-9024","07","Chiapas","099","La Trinitaria","010-9","024","47",104.2129
"289","07106009-2003","07","Chiapas","106","Venustiano Carranza","009-2","003","34",703.001
"290","07048005-9004","07","Chiapas","048","Juárez","005-9","004","49",680.7754
"291","07107013-6004","07","Chiapas","107","Villa Corzo","013-6","004","2",321.4338
"292","07117003-9004","07","Chiapas","117","Montecristo de Guerrero","003-9","004","14",185.6705
"293","07099023-6005","07","Chiapas","099","La Trinitaria","023-6","005","7",640.7457
"294","07061016-9006","07","Chiapas","061","Ocozocoautla de Espinosa","016-9","006","11",1393.8268
"295","07027011-4009","07","Chiapas","027","Chiapa de Corzo","011-4","009","18",1472.886
"296","07075006-0006","07","Chiapas","075","Las Rosas","006-0","006","67",106.3054
"297","07077006-5009","07","Chiapas","077","Salto de Agua","006-5","009","9",57.4383
"298","07077011-6006","07","Chiapas","077","Salto de Agua","011-6","006","14",453.0332
"299","07059101-2007","07","Chiapas","059","Ocosingo","101-2","007","1",22.1443
"300","07084001-7007","07","Chiapas","084","Solosuchiapa","001-7","007","7",378.1977
"301","07034005-3002","07","Chiapas","034","Frontera Comalapa","005-3","002","19",202.9979
"302","07024004-2004","07","Chiapas","024","Chanal","004-2","004","70",131.502
"303","07034007-2008","07","Chiapas","034","Frontera Comalapa","007-2","008","27",389.5369
"304","07052006-6013","07","Chiapas","052","Las Margaritas","006-6","013","11",143.4224
"305","07071003-8030","07","Chiapas","071","Villa Comaltitlán","003-8","030","1",102.1505
"306","07044002-6008","07","Chiapas","044","Ixtapa","002-6","008","1120",993.6627
"307","07032004-4010","07","Chiapas","032","Escuintla","004-4","010","63",357.6006
"308","07107025-9014","07","Chiapas","107","Villa Corzo","025-9","014","6",383.9412
"309","07089026-3010","07","Chiapas","089","Tapachula","026-3","010","15",468.0357
"310","07097012-3010","07","Chiapas","097","Tonalá","012-3","010","1",48.0112
"311","07005001-3036","07","Chiapas","005","Amatán","001-3","036","45",489.255
"312","07020008-1005","07","Chiapas","020","La Concordia","008-1","005","15",2476.6588
"313","07065030-8011","07","Chiapas","065","Palenque","030-8","011","40",2284.3861
"314","07003004-2017","07","Chiapas","003","Acapetahua","004-2","017","4",33.733
"315","07027008-2012","07","Chiapas","027","Chiapa de Corzo","008-2","012","17",434.8839
"316","07080006-0002","07","Chiapas","080","Siltepec","006-0","002","112",989.2299
"317","07034009-1012","07","Chiapas","034","Frontera Comalapa","009-1","012","103",496.4117
"318","07061017-3017","07","Chiapas","061","Ocozocoautla de Espinosa","017-3","017","19",42.7722
"319","07077011-6012","07","Chiapas","077","Salto de Agua","011-6","012","75",409.2625
"320","07083008-1001","07","Chiapas","083","Socoltenango","008-1","001","3",14989.4472
"321","07059042-3018","07","Chiapas","059","Ocosingo","042-3","018","98",159.18
"322","07059017-5001","07","Chiapas","059","Ocosingo","017-5","001","37",873.052
"323","07065020-4018","07","Chiapas","065","Palenque","020-4","018","216",241.486
"324","07106016-2001","07","Chiapas","106","Venustiano Carranza","016-2","001","73",7804.0319
"325","07088001-6018","07","Chiapas","088","Sunuapa","001-6","018","61",1173.0753
"326","07089029-7006","07","Chiapas","089","Tapachula","029-7","006","14",88.9207
"327","07059032-A021","07","Chiapas","059","Ocosingo","032-A","021","201",551.4133
"328","07097015-7002","07","Chiapas","097","Tonalá","015-7","002","2",186.3098
"329","07057006-2023","07","Chiapas","057","Motozintla","006-2","023","85",765.204
"330","07061004-6026","07","Chiapas","061","Ocozocoautla de Espinosa","004-6","026","12",237.4894
"331","07021004-0001","07","Chiapas","021","Copainalá","004-0","001","8",516.4358
"332","07027005-9003","07","Chiapas","027","Chiapa de Corzo","005-9","003","270",317.0901
"333","07059065-4001","07","Chiapas","059","Ocosingo","065-4","001","1",9754.2157
"334","07005005-1006","07","Chiapas","005","Amatán","005-1","006","140",226.4012
"335","07010001-3004","07","Chiapas","010","Bejucal de Ocampo","001-3","004","233",2297.3228
"336","07048004-4004","07","Chiapas","048","Juárez","004-4","004","3",392.3439
"337","07041002-4008","07","Chiapas","041","La Independencia","002-4","008","8",225.7736
"338","07052010-2004","07","Chiapas","052","Las Margaritas","010-2","004","161",1174.9136
"339","07034004-9009","07","Chiapas","034","Frontera Comalapa","004-9","009","24",35.4128
"340","07059076-2004","07","Chiapas","059","Ocosingo","076-2","004","21",379.6527
