"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"103","07002005-A006","07","Chiapas","002","Acala","005-A","006","67",320.6541,0,1,52,260.6658,159.6797,4.78588208955224,3.07076346153846,0,0.0149253731343284,0.776119402985075,0.791044776119403
"104","07002005-A007","07","Chiapas","002","Acala","005-A","007","34",107.2971,0,0,28,93.8209,57.4733,3.15579705882353,2.05261785714286,0,0,0.823529411764706,0.823529411764706
"105","07002005-A008","07","Chiapas","002","Acala","005-A","008","298",1290.5842,0,1,260,1154.0973,706.9823,4.33081946308725,2.71916269230769,0,0.00335570469798658,0.87248322147651,0.875838926174497
"106","07002005-A009","07","Chiapas","002","Acala","005-A","009","6",99.0345,0,2,2,1.2021,0.9727,33.0115,0.9727,0,0.333333333333333,0.333333333333333,0.666666666666667
"107","07002005-A010","07","Chiapas","002","Acala","005-A","010","4",222.5682,0,2,0,0,0,0,0,0,0.5,0,0.5
"108","07002005-A011","07","Chiapas","002","Acala","005-A","011","4",97.5733,0,2,1,25.9312,15.885,24.393325,15.885,0,0.5,0.25,0.75
"109","07002005-A012","07","Chiapas","002","Acala","005-A","012","4",55.8065,0,0,3,46.8082,28.6739,13.951625,9.55796666666667,0,0,0.75,0.75
"110","07002005-A013","07","Chiapas","002","Acala","005-A","013","337",260.7067,0,2,255,193.303,118.4144,0.773610385756677,0.464370196078431,0,0.00593471810089021,0.756676557863502,0.762611275964392
"111","07002005-A014","07","Chiapas","002","Acala","005-A","014","87",285.1288,0,2,49,176.4696,108.1024,3.27734252873563,2.20617142857143,0,0.0229885057471264,0.563218390804598,0.586206896551724
"112","07002005-A015","07","Chiapas","002","Acala","005-A","015","29",2.9641,0,5,21,2.1809,1.3359,0.102210344827586,0.0636142857142857,0,0.172413793103448,0.724137931034483,0.896551724137931
"113","07002005-A017","07","Chiapas","002","Acala","005-A","017","93",92.7429,0,1,72,72.7578,44.5703,0.997235483870968,0.619031944444445,0,0.010752688172043,0.774193548387097,0.78494623655914
"114","07002005-A019","07","Chiapas","002","Acala","005-A","019","62",26.691,0,0,8,3.444,2.1096,0.4305,0.2637,0,0,0.129032258064516,0.129032258064516
"115","07002005-A020","07","Chiapas","002","Acala","005-A","020","1",355.0953,0,0,0,0,0,0,0,0,0,0,0
"116","07002005-A021","07","Chiapas","002","Acala","005-A","021","32",25.2924,0,5,24,0.4696,0.2878,0.7903875,0.0119916666666667,0,0.15625,0.75,0.90625
"117","07002005-A022","07","Chiapas","002","Acala","005-A","022","17",29.0957,0,0,16,27.4973,16.8445,1.71151176470588,1.05278125,0,0,0.941176470588235,0.941176470588235
"118","07002005-A023","07","Chiapas","002","Acala","005-A","023","80",285.5889,0,33,35,72.856,44.6305,3.56986125,1.27515714285714,0,0.4125,0.4375,0.85
"119","07002005-A024","07","Chiapas","002","Acala","005-A","024","23",131.0905,0,4,14,74.8342,45.8422,5.69958695652174,3.27444285714286,0,0.173913043478261,0.608695652173913,0.782608695652174
"120","07002005-A025","07","Chiapas","002","Acala","005-A","025","87",162.7647,0,5,77,131.2846,80.4226,1.87085862068966,1.04444935064935,0,0.0574712643678161,0.885057471264368,0.942528735632184
"121","07002005-A026","07","Chiapas","002","Acala","005-A","026","3",12.711,0,1,2,4.4548,2.7289,4.237,1.36445,0,0.333333333333333,0.666666666666667,1
"122","07002006-4001","07","Chiapas","002","Acala","006-4","001","6",757.3217,0,5,1,68.1904,0,126.220283333333,0,0,0.833333333333333,0.166666666666667,1
"123","07002006-4002","07","Chiapas","002","Acala","006-4","002","8",533.0977,0,3,1,7.6805,4.705,66.6372125,4.705,0,0.375,0.125,0.5
"124","07002006-4003","07","Chiapas","002","Acala","006-4","003","4",282.9016,0,3,1,48.8935,29.9514,70.7254,29.9514,0,0.75,0.25,1
"125","07002006-4004","07","Chiapas","002","Acala","006-4","004","13",760.325,0,0,12,604.8966,370.5498,58.4865384615385,30.87915,0,0,0.923076923076923,0.923076923076923
"126","07002006-4005","07","Chiapas","002","Acala","006-4","005","4",87.8249,0,1,3,68.4126,41.9085,21.956225,13.9695,0,0.25,0.75,1
"127","07002006-4006","07","Chiapas","002","Acala","006-4","006","83",122.4831,0,0,53,78.2121,47.912,1.4757,0.904,0,0,0.63855421686747,0.63855421686747
"128","07002006-4007","07","Chiapas","002","Acala","006-4","007","23",258.5513,0,0,19,193.2403,118.3758,11.2413608695652,6.2303052631579,0,0,0.826086956521739,0.826086956521739
"129","07002006-4008","07","Chiapas","002","Acala","006-4","008","41",1347.125,0,7,29,955.061,585.0549,32.8567073170732,20.1743068965517,0,0.170731707317073,0.707317073170732,0.878048780487805
"130","07002006-4009","07","Chiapas","002","Acala","006-4","009","22",1167.9749,0,21,0,0,0,0,0,0,0.954545454545455,0,0.954545454545455
"131","07002006-4010","07","Chiapas","002","Acala","006-4","010","65",207.285,0,0,9,28.701,17.5815,3.189,1.9535,0,0,0.138461538461538,0.138461538461538
"132","07002006-4011","07","Chiapas","002","Acala","006-4","011","102",464.2938,0,0,90,402.8527,246.7809,4.5519,2.74201,0,0,0.882352941176471,0.882352941176471
"133","07002006-4012","07","Chiapas","002","Acala","006-4","012","88",479.0094,0,0,83,458.3237,280.7616,5.44328863636364,3.38266987951807,0,0,0.943181818181818,0.943181818181818
"134","07002006-4014","07","Chiapas","002","Acala","006-4","014","13",89.5353,0,1,9,51.1444,31.3304,6.88733076923077,3.48115555555556,0,0.0769230769230769,0.692307692307692,0.769230769230769
"135","07002006-4015","07","Chiapas","002","Acala","006-4","015","210",381.7176,0,25,181,186.4065,114.1899,1.81770285714286,0.630883425414365,0,0.119047619047619,0.861904761904762,0.980952380952381
"136","07002006-4016","07","Chiapas","002","Acala","006-4","016","27",191.7318,0,8,16,70.2002,43.0035,7.10117777777778,2.68771875,0,0.296296296296296,0.592592592592593,0.888888888888889
"137","07002006-4017","07","Chiapas","002","Acala","006-4","017","32",861.4268,0,1,24,652.838,399.918,26.9195875,16.66325,0,0.03125,0.75,0.78125
"138","07002006-4018","07","Chiapas","002","Acala","006-4","018","16",191.288,0,0,16,191.288,117.1802,11.9555,7.3237625,0,0,1,1
"139","07002006-4019","07","Chiapas","002","Acala","006-4","019","17",107.6831,0,0,15,92.609,56.7307,6.3343,3.78204666666667,0,0,0.882352941176471,0.882352941176471
"140","07002006-4020","07","Chiapas","002","Acala","006-4","020","1",531.8377,0,0,1,531.8377,325.7952,531.8377,325.7952,0,0,1,1
"141","07002006-4021","07","Chiapas","002","Acala","006-4","021","21",155.1963,0,0,11,81.2933,49.7992,7.3903,4.5272,0,0,0.523809523809524,0.523809523809524
"142","07002006-4027","07","Chiapas","002","Acala","006-4","027","64",166.4442,0,0,6,19.1891,11.7549,2.600690625,1.95915,0,0,0.09375,0.09375
"143","07002006-4028","07","Chiapas","002","Acala","006-4","028","96",226.2889,0,20,68,122.9833,75.3373,2.35717604166667,1.10790147058824,0,0.208333333333333,0.708333333333333,0.916666666666667
"144","07002006-4029","07","Chiapas","002","Acala","006-4","029","28",107.3279,0,10,15,37.0732,22.7105,3.83313928571429,1.51403333333333,0,0.357142857142857,0.535714285714286,0.892857142857143
"145","07002006-4030","07","Chiapas","002","Acala","006-4","030","89",116.7681,0,1,74,92.9711,56.9529,1.31200112359551,0.769633783783784,0,0.0112359550561798,0.831460674157303,0.842696629213483
"146","07002006-4031","07","Chiapas","002","Acala","006-4","031","29",139.3997,0,1,22,124.0311,75.9796,4.80688620689655,3.45361818181818,0,0.0344827586206897,0.758620689655172,0.793103448275862
"147","07002006-4032","07","Chiapas","002","Acala","006-4","032","31",101.8111,0,2,24,44.2826,27.1267,3.28422903225806,1.13027916666667,0,0.0645161290322581,0.774193548387097,0.838709677419355
"148","07002006-4033","07","Chiapas","002","Acala","006-4","033","43",81.5392,0,0,40,69.8442,42.7855,1.89626046511628,1.0696375,0,0,0.930232558139535,0.930232558139535
"149","07002006-4034","07","Chiapas","002","Acala","006-4","034","6",17.4023,0,0,5,14.0297,8.5944,2.90038333333333,1.71888,0,0,0.833333333333333,0.833333333333333
"150","07002006-4035","07","Chiapas","002","Acala","006-4","035","106",199.7165,0,78,21,27.5731,16.8908,1.8841179245283,0.804323809523809,0,0.735849056603774,0.19811320754717,0.933962264150943
"151","07002006-4036","07","Chiapas","002","Acala","006-4","036","45",211.1309,0,0,38,151.3447,92.7115,4.69179777777778,2.43977631578947,0,0,0.844444444444444,0.844444444444444
"152","07003003-8001","07","Chiapas","003","Acapetahua","003-8","001","7",487.9784,0,4,1,69.7112,62.4608,69.7112,62.4608,0,0.571428571428571,0.142857142857143,0.714285714285714
"153","07003003-8002","07","Chiapas","003","Acapetahua","003-8","002","238",1230.612,0,36,181,378.2099,351.7243,20.6825546218487,7.38763413855494,0,0.151260504201681,0.760504201680672,0.911764705882353
"154","07003003-8003","07","Chiapas","003","Acapetahua","003-8","003","9",566.4324,0,8,1,26.0197,26.0197,62.9369333333333,26.0197,0,0.888888888888889,0.111111111111111,1
"155","07003003-8004","07","Chiapas","003","Acapetahua","003-8","004","46",709.8444,0,4,26,401.2164,401.2164,30.8628,30.8628,0,0.0869565217391304,0.565217391304348,0.652173913043478
"156","07003003-8005","07","Chiapas","003","Acapetahua","003-8","005","35",229.8242,0,4,29,189.9286,0,26.2656228571429,0,0,0.114285714285714,0.828571428571429,0.942857142857143
"157","07003003-8006","07","Chiapas","003","Acapetahua","003-8","006","58",148.924,0,1,53,139.6864,127.4186,5.13531034482759,5.40169440993789,0,0.0172413793103448,0.913793103448276,0.931034482758621
"158","07003003-8007","07","Chiapas","003","Acapetahua","003-8","007","63",848.3944,0,37,18,224.0814,222.5219,40.3997333333333,33.5133761904762,0,0.587301587301587,0.285714285714286,0.873015873015873
"159","07003003-8008","07","Chiapas","003","Acapetahua","003-8","008","1",40.2775,0,0,0,0,0,0,0,0,0,0,0
"160","07003003-8009","07","Chiapas","003","Acapetahua","003-8","009","31",1247.5659,0,25,5,256.6841,211.9013,120.732183870968,154.898633333333,0,0.806451612903226,0.161290322580645,0.967741935483871
"161","07003003-8010","07","Chiapas","003","Acapetahua","003-8","010","50",147.8828,0,8,26,85.2841,85.2841,5.915312,4.57795681818182,0,0.16,0.52,0.68
"162","07003003-8011","07","Chiapas","003","Acapetahua","003-8","011","28",887.2308,0,21,3,56.3994,50.5335,31.6868142857143,16.8445,0,0.75,0.107142857142857,0.857142857142857
"163","07003003-8012","07","Chiapas","003","Acapetahua","003-8","012","6",981.7872,0,0,1,163.6312,163.6312,163.6312,163.6312,0,0,0.166666666666667,0.166666666666667
"164","07003003-8013","07","Chiapas","003","Acapetahua","003-8","013","48",1239.0072,0,24,10,141.0269,127.6708,51.6253,25.3944444444444,0,0.5,0.208333333333333,0.708333333333333
"165","07003003-8014","07","Chiapas","003","Acapetahua","003-8","014","41",39.7496,0,1,30,33.4643,31.8611,2.90850731707317,3.25085,0,0.024390243902439,0.731707317073171,0.75609756097561
"166","07003003-8015","07","Chiapas","003","Acapetahua","003-8","015","1",0.409,0,0,0,0,0,0,0,0,0,0,0
"167","07003003-8016","07","Chiapas","003","Acapetahua","003-8","016","1",1.0204,0,1,0,0,0,0,0,0,1,0,1
"168","07003003-8017","07","Chiapas","003","Acapetahua","003-8","017","6",6.7926,0,1,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
"169","07003003-8018","07","Chiapas","003","Acapetahua","003-8","018","14",25.0909,0,2,6,11.8018,10.5743,1.79220714285714,1.76238333333333,0,0.142857142857143,0.428571428571429,0.571428571428571
"170","07003003-8019","07","Chiapas","003","Acapetahua","003-8","019","42",112.6742,0,21,16,40.4539,40.0581,8.04815714285714,6.630125,0,0.5,0.380952380952381,0.880952380952381
"171","07003004-2001","07","Chiapas","003","Acapetahua","004-2","001","35",772.4878,0,18,10,180.8747,0,66.21324,0,0,0.514285714285714,0.285714285714286,0.8
"172","07003004-2004","07","Chiapas","003","Acapetahua","004-2","004","222",782.4963,0,13,163,541.3266,539.0182,14.0990324324324,17.7303539473684,0,0.0585585585585586,0.734234234234234,0.792792792792793
"173","07003004-2006","07","Chiapas","003","Acapetahua","004-2","006","1",46.4828,0,1,0,0,0,0,0,0,1,0,1
