"","TERRENO_PROM_TOT_16.x","TERRENO_PROM_SEM_16.x","PCT_SUPSEM_16.x","CULTI_ESPE","CONCAT_ESPE","PCT_AGRICOLA.x","PCT_FORESTAL","PCT_PECUARIO","PCT_OCUPADO","ACTIVIDAD PRODUCTIVA","CONSERVADO","DEFORESTADA","DEGRADADA","REFORESTADO","SIN CAMBIO","ID_07","CVE_ENT_07","CVE_MUN_07","SUP_SC_07","SUP_SEMB_07","SHAPE_LENG_07","UP_PROM_TOTAL","UP_PROM_SEMB"
"19",0,0,0,"0","0",0,0,0.5,0.5,0,348.409,42.245,144.653,37.277,92.083,NA,NA,NA,NA,NA,NA,NA,NA
"20",22.6234176470588,5.84005,0.030369624810939,"MAIZ","116_007-A_001_MAIZ",0.117647058823529,0,0.117647058823529,0.235294117647059,0,155.732,187.499,0,0.291,39.472,131,28,464,1532.28,74.6217,36966.1122556,810.914415584416,3.65885194805195
"21",37.607,13.3302,0.13292272715186,"MAIZ","116_007-A_002_MAIZ",0.375,0,0.25,0.625,0,56.142,2.186,0,2.737,238.602,221,63,1044,2697.03,88.5383,69393.71016315,1614.61902205882,5.95235009803922
"22",18.2937,4.4979,0.00150841429167459,"AGUACATE","116_007-A_003_AGUACATE",0.00613496932515337,0,0.116564417177914,0.122699386503067,0,354.467,1180.616,1100.983,23.641,308.124,690,189,3132,80178.93,1966.7469,777351.256911,6236.55816210846,17.5957588920955
"23",18.2937,18.2937,0.0429447852760736,"FRIJOL","116_007-A_003_FRIJOL",0.0429447852760736,0,0.116564417177914,0.159509202453988,0,354.467,1180.616,1100.983,23.641,308.124,690,189,3132,80178.93,1966.7469,777351.256911,6236.55816210846,17.5957588920955
"24",18.2937,6.4844,0.0891588579004251,"MAIZ","116_007-A_003_MAIZ",0.251533742331288,0,0.116564417177914,0.368098159509202,0,354.467,1180.616,1100.983,23.641,308.124,690,189,3132,80178.93,1966.7469,777351.256911,6236.55816210846,17.5957588920955
"25",84.1712,29.8353,0.354459720189328,"MAIZ","116_007-A_004_MAIZ",1,0,0,1,0,0,83.822,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"26",84.8287,30.0684,0.335804422696316,"MAIZ","116_007-A_005_MAIZ",0.947368421052632,0,0.0526315789473684,1,0,448.658,602.718,266.461,38.891,248.044,127,14,232,3210.44,23.0657,36124.6974946,642.088,4.61314
"27",122.4214,43.3935,0.354460086226755,"MAIZ","116_007-A_006_MAIZ",1,0,0,1,0,270.157,1351.137,206.967,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"28",0,0,0,"0","0",0,0,0,0,0,75.177,349.022,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"29",12.1262928571429,4.26862857142857,0.0880035766436686,"MAIZ","116_007-A_008_MAIZ",0.25,0,0,0.25,0,268.816,57.016,0,0,12.32,96,7,116,338.24,1,7701.52137115,338.24,1
"30",23.8659294117647,25.1174,0.0206360301632716,"FRIJOL","116_007-A_012_FRIJOL",0.0196078431372549,0,0.450980392156863,0.470588235294118,0,126.214,56.863,0,0.933,1070.369,322,84,1392,15204.48,251.2702,198203.2671768,10321.8965656566,8.91279545454545
"31",23.8659294117647,6.738025,0.0442867771794462,"MAIZ","116_007-A_012_MAIZ",0.156862745098039,0,0.450980392156863,0.607843137254902,0,126.214,56.863,0,0.933,1070.369,322,84,1392,15204.48,251.2702,198203.2671768,10321.8965656566,8.91279545454545
