"","CVE_CONCAT","SUP_TOTAL","SUP_TOTAL.1","F_TOTAL","P_TOTAL","TERRENOS_16.x","SUP_TOTAL_16.x","SUP_SEMB_16.x","TERRENO_PROM_TOT_16.x","TERRENO_PROM_SEM_16.x","PCT_SUPSEM_16.x","PCT_AGRICOLA.x","PCT_FORESTAL","PCT_PECUARIO","PCT_OCUPADO","SUP_TOTAL.2","F_TOTAL.1","P_TOTAL.1","TERRENOS_16.x.1","SUP_TOTAL_16.x.1","SUP_SEMB_16.x.1","TERRENO_PROM_TOT_16.x.1","TERRENO_PROM_SEM_16.x.1","PCT_SUPSEM_16.x.1","PCT_AGRICOLA.x.1","PCT_FORESTAL.1","PCT_PECUARIO.1","PCT_OCUPADO.1"
"21","116_008-4_007",969.5952,969.5952,0,0,28,969.5952,343.6824,34.6284,12.2743714285714,0.354459675542948,1,0,0,1,969.5952,0,0,28,969.5952,343.6824,34.6284,12.2743714285714,0.354459675542948,1,0,0,1
"22","116_008-4_008",2484.0084,2484.0084,0,21,119,2484.0084,42.117,20.8740201680672,21.0585,0.0169552566730451,0.0168067226890756,0,0.176470588235294,0.19327731092437,2484.0084,0,21,119,2484.0084,42.117,20.8740201680672,21.0585,0.0169552566730451,0.0168067226890756,0,0.176470588235294,0.19327731092437
"23","116_008-4_009",3181.2264,3181.2264,0,150,482,3181.2264,11.2797,6.60005477178423,3.7599,0.00354570803260026,0.00622406639004149,0,0.311203319502075,0.317427385892116,3181.2264,0,150,482,3181.2264,11.2797,6.60005477178423,3.7599,0.00354570803260026,0.00622406639004149,0,0.311203319502075,0.317427385892116
"24","116_008-4_010",160.8464,160.8464,0,0,26,160.8464,28.5064,6.1864,2.1928,0.177227466701151,0.5,0,0,0.5,160.8464,0,0,26,160.8464,28.5064,6.1864,2.1928,0.177227466701151,0.5,0,0,0.5
"25","116_009-9_001",7110.8516,7110.8516,0,190,243,7110.8516,77.7566,29.2627637860082,12.9594333333333,0.0109349209312707,0.0246913580246914,0,0.781893004115226,0.806584362139918,7110.8516,0,190,243,7110.8516,77.7566,29.2627637860082,12.9594333333333,0.0109349209312707,0.0246913580246914,0,0.781893004115226,0.806584362139918
"26","116_009-9_002",2446.0703,2446.0703,1,31,88,2446.0703,13.7475,27.7962534090909,4.5825,0.00562023912395322,0.0340909090909091,0.0113636363636364,0.352272727272727,0.397727272727273,2446.0703,1,31,88,2446.0703,13.7475,27.7962534090909,4.5825,0.00562023912395322,0.0340909090909091,0.0113636363636364,0.352272727272727,0.397727272727273
"27","116_010-1_006",4316.111,4316.111,0,64,106,4316.111,67.0138,40.7180283018868,3.52704210526316,0.0155264310857622,0.179245283018868,0,0.60377358490566,0.783018867924528,4316.111,0,64,106,4316.111,67.0138,40.7180283018868,3.52704210526316,0.0155264310857622,0.179245283018868,0,0.60377358490566,0.783018867924528
"28","116_010-1_007",1241.9933,1241.9933,46,34,100,1241.9933,80.8115,12.419933,6.21626923076923,0.0650659709677983,0.13,0.46,0.34,0.93,1241.9933,46,34,100,1241.9933,80.8115,12.419933,6.21626923076923,0.0650659709677983,0.13,0.46,0.34,0.93
"29","116_010-1_012",326.83,326.83,51,0,70,326.83,31.445,4.669,1.655,0.0962120980326163,0.271428571428571,0.728571428571429,0,1,326.83,51,0,70,326.83,31.445,4.669,1.655,0.0962120980326163,0.271428571428571,0.728571428571429,0,1
"30","116_010-1_014",631.7403,631.7403,0,11,31,631.7403,115.011,20.3787193548387,8.21507142857143,0.182054239693114,0.451612903225806,0,0.354838709677419,0.806451612903226,631.7403,0,11,31,631.7403,115.011,20.3787193548387,8.21507142857143,0.182054239693114,0.451612903225806,0,0.354838709677419,0.806451612903226
"31","116_011-6_001",2643.7354,2643.7354,55,63,205,2643.7354,164.3072,12.8962702439024,3.35320816326531,0.0621496387270829,0.239024390243902,0.268292682926829,0.307317073170732,0.814634146341463,2643.7354,55,63,205,2643.7354,164.3072,12.8962702439024,3.35320816326531,0.0621496387270829,0.239024390243902,0.268292682926829,0.307317073170732,0.814634146341463
"32","116_011-6_005",275.9998,275.9998,0,0,67,275.9998,39.4254,4.1194,1.4602,0.14284575568533,0.402985074626866,0,0,0.402985074626866,275.9998,0,0,67,275.9998,39.4254,4.1194,1.4602,0.14284575568533,0.402985074626866,0,0,0.402985074626866
"33","116_011-6_006",116.292,116.292,0,0,66,116.292,16.8642,1.762,0.6246,0.145015994221443,0.409090909090909,0,0,0.409090909090909,116.292,0,0,66,116.292,16.8642,1.762,0.6246,0.145015994221443,0.409090909090909,0,0,0.409090909090909
